image,num_faces,gpu_upload_ms,gpu_gray_ms,gpu_download_ms,face_detect_ms,landmarks_ms,save_ms,total_ms
lfw-deepfunneled/lfw-deepfunneled/David_Kelley/David_Kelley_0001.jpg,1,3.48118,0.063561,1.53998,10.4747,6.4277,30.6775,52.6646
lfw-deepfunneled/lfw-deepfunneled/Klaus_Schwab/Klaus_Schwab_0001.jpg,2,2.82153,0.042397,1.08789,11.4493,12.4009,24.1226,51.9246
lfw-deepfunneled/lfw-deepfunneled/Irwan_Fadzi_Idris/Irwan_Fadzi_Idris_0001.jpg,1,3.42662,0.05184,1.02293,5.97442,6.61776,8.46248,25.556
lfw-deepfunneled/lfw-deepfunneled/Emily_Robison/Emily_Robison_0001.jpg,1,2.42907,0.05699,1.50402,10.8068,10.4124,8.74076,33.9501
lfw-deepfunneled/lfw-deepfunneled/Andre_Agassi/Andre_Agassi_0003.jpg,1,7.12184,0.038722,2.58782,7.61996,10.4874,36.3064,64.1621
lfw-deepfunneled/lfw-deepfunneled/Natalie_Maines/Natalie_Maines_0005.jpg,1,3.11339,0.049074,1.76953,8.44927,6.60622,8.5913,28.5788
lfw-deepfunneled/lfw-deepfunneled/Hans_Blix/Hans_Blix_0021.jpg,1,0.992572,0.050571,0.939549,8.56279,7.0089,4.94567,22.5001
lfw-deepfunneled/lfw-deepfunneled/Rudolph_Giuliani/Rudolph_Giuliani_0017.jpg,1,2.08613,0.05825,1.33605,10.7334,6.58743,14.114,34.9153
lfw-deepfunneled/lfw-deepfunneled/Lindsay_Davenport/Lindsay_Davenport_0018.jpg,1,2.14744,0.041347,4.96721,9.61216,14.1745,9.2209,40.1635
lfw-deepfunneled/lfw-deepfunneled/Kim_Cattrall/Kim_Cattrall_0001.jpg,1,1.89697,0.050103,1.22037,12.9437,9.88054,6.95794,32.9497
lfw-deepfunneled/lfw-deepfunneled/Igor_Trunov/Igor_Trunov_0001.jpg,1,1.84073,0.051096,1.20647,11.6535,6.34104,51.0097,72.1025
lfw-deepfunneled/lfw-deepfunneled/Jeri_Ryan/Jeri_Ryan_0001.jpg,1,1.57325,0.053292,1.25426,13.4227,6.52682,45.1409,67.9713
lfw-deepfunneled/lfw-deepfunneled/Martha_Lucia_Ramirez/Martha_Lucia_Ramirez_0002.jpg,1,0.909813,0.050634,1.316,11.7431,22.0774,52.1773,88.2742
lfw-deepfunneled/lfw-deepfunneled/Cristina_Fernandez/Cristina_Fernandez_0002.jpg,1,2.63997,0.055929,0.863659,8.37791,10.5424,19.5434,42.0232
lfw-deepfunneled/lfw-deepfunneled/Laura_Bozzo/Laura_Bozzo_0001.jpg,2,2.34132,0.048137,1.2163,6.89944,12.9157,18.4765,41.8975
lfw-deepfunneled/lfw-deepfunneled/Kelly_Leigh/Kelly_Leigh_0001.jpg,1,1.63489,0.05397,1.10448,15.2916,10.0631,48.6235,76.7716
